name,year
The Shawshank Redemption,1994
The Godfather,1972
The Godfather: Part II,1974
The Dark Knight,2008
12 Angry Men,1957
Schindler's List,1993
The Lord of the Rings: The Return of the King,2003
Pulp Fiction,1994
"Il buono, il brutto, il cattivo",1966
The Lord of the Rings: The Fellowship of the Ring,2001
Fight Club,1999
Forrest Gump,1994
Inception,2010
The Lord of the Rings: The Two Towers,2002
Star Wars: Episode V - The Empire Strikes Back,1980
The Matrix,1999
Goodfellas,1990
One Flew Over the Cuckoo's Nest,1975
Shichinin no samurai,1954
Se7en,1995
La vita è bella,1997
Cidade de Deus,2002
The Silence of the Lambs,1991
It's a Wonderful Life,1946
Star Wars,1977
Saving Private Ryan,1998
The Green Mile,1999
Sen to Chihiro no kamikakushi,2001
Interstellar,2014
Gisaengchung,2019
Léon,1994
Seppuku,1962
The Usual Suspects,1995
The Lion King,1994
The Pianist,2002
Terminator 2: Judgment Day,1991
Back to the Future,1985
American History X,1998
Modern Times,1936
Gladiator,2000
Psycho,1960
The Departed,2006
City Lights,1931
The Intouchables,2011
Whiplash,2014
Hotaru no haka,1988
The Prestige,2006
Once Upon a Time in the West,1968
Casablanca,1942
Nuovo Cinema Paradiso,1988
Rear Window,1954
Alien,1979
Apocalypse Now,1979
Memento,2000
The Great Dictator,1940
Raiders of the Lost Ark,1981
Django Unchained,2012
The Lives of Others,2006
Paths of Glory,1957
Hamilton,2020
WALL·E,2008
Joker,2019
The Shining,1980
Avengers: Infinity War,2018
Sunset Blvd.,1950
Witness for the Prosecution,1957
Oldeuboi,2003
Spider-Man: Into the Spider-Verse,2018
Mononoke-hime,1997
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
The Dark Knight Rises,2012
Once Upon a Time in America,1984
Kimi no na wa.,2016
Aliens,1986
Coco,2017
Avengers: Endgame,2019
Capharnaüm,2018
American Beauty,1999
Braveheart,1995
Tengoku to jigoku,1963
Toy Story,1995
Das Boot,1981
3 Idiots,2009
Amadeus,1984
Inglourious Basterds,2009
Good Will Hunting,1997
Star Wars: Episode VI - Return of the Jedi,1983
Taare Zameen Par,2007
Reservoir Dogs,1992
2001: A Space Odyssey,1968
Requiem for a Dream,2000
Jagten,2012
Vertigo,1958
M - Eine Stadt sucht einen Mörder,1931
Eternal Sunshine of the Spotless Mind,2004
Citizen Kane,1941
Dangal,2016
Idi i smotri,1985
Singin' in the Rain,1952
The Kid,1921
Ladri di biciclette,1948
Full Metal Jacket,1987
Ikiru,1952
Snatch,2000
North by Northwest,1959
Scarface,1983
A Clockwork Orange,1971
1917,2019
Taxi Driver,1976
Incendies,2010
Jodaeiye Nader az Simin,2011
Toy Story 3,2010
The Sting,1973
Lawrence of Arabia,1962
Amélie,2001
Metropolis,1927
The Apartment,1960
Per qualche dollaro in più,1965
Double Indemnity,1944
To Kill a Mockingbird,1962
Up,2009
Indiana Jones and the Last Crusade,1989
Heat,1995
L.A. Confidential,1997
Green Book,2018
Die Hard,1988
Batman Begins,2005
Yojinbo,1961
Monty Python and the Holy Grail,1975
Rashômon,1950
Der Untergang,2004
Bacheha-Ye aseman,1997
Ran,1985
Unforgiven,1992
Some Like It Hot,1959
Hauru no ugoku shiro,2004
All About Eve,1950
Casino,1995
A Beautiful Mind,2001
The Wolf of Wall Street,2013
The Great Escape,1963
Pan's Labyrinth,2006
There Will Be Blood,2007
El secreto de sus ojos,2009
"Lock, Stock and Two Smoking Barrels",1998
Judgment at Nuremberg,1961
Raging Bull,1980
Tonari no Totoro,1988
The Treasure of the Sierra Madre,1948
Dial M for Murder,1954
Shutter Island,2010
"Three Billboards Outside Ebbing, Missouri",2017
The Gold Rush,1925
Chinatown,1974
Babam ve Oglum,2005
No Country for Old Men,2007
V for Vendetta,2005
Inside Out,2015
The Thing,1982
The Elephant Man,1980
Det sjunde inseglet,1957
The Sixth Sense,1999
Warrior,2011
Jurassic Park,1993
Klaus,2019
Trainspotting,1996
The Truman Show,1998
Gone with the Wind,1939
Finding Nemo,2003
Stalker,1979
Smultronstället,1957
Salinui chueok,2003
Kill Bill: Vol. 1,2003
Blade Runner,1982
The Bridge on the River Kwai,1957
Fargo,1996
Relatos salvajes,2014
Tôkyô monogatari,1953
Room,2015
Gran Torino,2008
The Third Man,1949
On the Waterfront,1954
The Deer Hunter,1978
In the Name of the Father,1993
Before Sunrise,1995
Mary and Max,2009
The Grand Budapest Hotel,2014
Catch Me If You Can,2002
Gone Girl,2014
Hacksaw Ridge,2016
Prisoners,2013
Persona,1966
Sherlock Jr.,1924
Andhadhun,2018
The Big Lebowski,1998
To Be or Not to Be,1942
Barry Lyndon,1975
The General,1926
Ford v Ferrari,2019
How to Train Your Dragon,2010
12 Years a Slave,2013
Eskiya,1996
Höstsonaten,1978
Mr. Smith Goes to Washington,1939
Mad Max: Fury Road,2015
Dead Poets Society,1989
Million Dollar Baby,2004
Zack Snyder's Justice League,2021
Anand,1971
Harry Potter and the Deathly Hallows: Part 2,2011
Stand by Me,1986
Ben-Hur,1959
Network,1976
Hachi: A Dog's Tale,2009
Ah-ga-ssi,2016
Cool Hand Luke,1967
Logan,2017
Platoon,1986
Le salaire de la peur,1953
Rush,2013
Into the Wild,2007
La haine,1995
Les quatre cents coups,1959
Life of Brian,1979
La passion de Jeanne d'Arc,1928
Spotlight,2015
Hotel Rwanda,2004
Gangs of Wasseypur,2012
Amores perros,2000
Andrei Rublev,1966
"Monsters, Inc.",2001
Rocky,1976
Soul,2020
Ratsasan,2018
Kaze no tani no Naushika,1984
Rebecca,1940
Before Sunset,2004
Fa yeung nin wah,2000
Dom za vesanje,1988
Rang De Basanti,2006
Du rififi chez les hommes,1955
"Paris, Texas",1984
Drishyam,2013
Portrait de la jeune fille en feu,2019
It Happened One Night,1934
Miracle in cell NO.7,2019
Mandariinid,2013
La battaglia di Algeri,1966
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997
"Swades: We, the People",2004
